,no_nickel,topology,no_corners_comb,no_edges_comb,all_comb,all_corners_comb,all_edges_comb,c_atom,mass_center,shortest_paths,conformation,bonds
0,0,"['Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu']",1,1,5,"[[1, 0, 5, 'Cu']]","[[[1, 0, 5, 'Cu'], [2, 0, 5, 'Cu']]]",0,2.411,"(0, 0, 12, None)","[12, 0, 0, 0, 0, 0, 0]","(0, 84, 0)"
1,1,"['Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu']",1,1,5,"[[1, 0, 5, 'Cu']]","[[[1, 0, 5, 'Cu'], [2, 0, 5, 'Cu']]]",1,2.411,"(0, 1, 12, 12)","[0, 12, 0, 0, 0, 0, 0]","(0, 60, 24)"
2,1,"['Cu', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu']",3,4,17,"[[1, 0, 5, 'Ni'], [2, 1, 4, 'Cu'], [7, 0, 5, 'Cu']]","[[[1, 0, 5, 'Ni'], [2, 1, 4, 'Cu']], [[2, 1, 4, 'Cu'], [7, 0, 5, 'Cu']], [[2, 1, 4, 'Cu'], [6, 1, 4, 'Cu']], [[7, 0, 5, 'Cu'], [8, 0, 5, 'Cu']]]",0,2.404,"(1, 1, 11, 12)","[7, 5, 0, 0, 0, 0, 0]","(0, 72, 12)"
3,2,"['Ni', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu']",3,4,17,"[[1, 0, 5, 'Ni'], [2, 1, 4, 'Cu'], [7, 0, 5, 'Cu']]","[[[1, 0, 5, 'Ni'], [2, 1, 4, 'Cu']], [[2, 1, 4, 'Cu'], [7, 0, 5, 'Cu']], [[2, 1, 4, 'Cu'], [6, 1, 4, 'Cu']], [[7, 0, 5, 'Cu'], [8, 0, 5, 'Cu']]]",1,2.404,"(1, 2, 11, 11)","[0, 7, 5, 0, 0, 0, 0]","(2, 50, 32)"
4,2,"['Cu', 'Ni', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu']",4,8,28,"[[1, 1, 4, 'Ni'], [3, 2, 3, 'Cu'], [4, 1, 4, 'Cu'], [9, 0, 5, 'Cu']]","[[[1, 1, 4, 'Ni'], [2, 1, 4, 'Ni']], [[1, 1, 4, 'Ni'], [3, 2, 3, 'Cu']], [[1, 1, 4, 'Ni'], [4, 1, 4, 'Cu']], [[3, 2, 3, 'Cu'], [4, 1, 4, 'Cu']], [[3, 2, 3, 'Cu'], [9, 0, 5, 'Cu']], [[4, 1, 4, 'Cu'], [5, 1, 4, 'Cu']], [[4, 1, 4, 'Cu'], [9, 0, 5, 'Cu']], [[9, 0, 5, 'Cu'], [10, 0, 5, 'Cu']]]",0,2.398,"(2, 2, 10, 11)","[4, 6, 2, 0, 0, 0, 0]","(2, 62, 20)"
5,2,"['Cu', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu']",4,7,26,"[[1, 0, 5, 'Ni'], [2, 2.1, 3, 'Cu'], [3, 1, 4, 'Cu'], [9, 0, 5, 'Cu']]","[[[1, 0, 5, 'Ni'], [2, 2.1, 3, 'Cu']], [[1, 0, 5, 'Ni'], [3, 1, 4, 'Cu']], [[2, 2.1, 3, 'Cu'], [6, 2.1, 3, 'Cu']], [[2, 2.1, 3, 'Cu'], [3, 1, 4, 'Cu']], [[3, 1, 4, 'Cu'], [4, 1, 4, 'Cu']], [[3, 1, 4, 'Cu'], [9, 0, 5, 'Cu']], [[9, 0, 5, 'Cu'], [10, 0, 5, 'Cu']]]",0,2.411,"(3, 3, 10, 11)","[4, 6, 2, 0, 0, 0, 0]","(0, 60, 24)"
6,2,"['Cu', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Ni']",2,2,10,"[[1, 0, 5, 'Ni'], [2, 1, 4, 'Cu']]","[[[1, 0, 5, 'Ni'], [2, 1, 4, 'Cu']], [[2, 1, 4, 'Cu'], [7, 1, 4, 'Cu']]]",0,2.411,"(4, 3, 10, 11)","[2, 10, 0, 0, 0, 0, 0]","(0, 60, 24)"
7,3,"['Ni', 'Ni', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu']",4,8,28,"[[1, 1, 4, 'Ni'], [3, 2, 3, 'Cu'], [4, 1, 4, 'Cu'], [9, 0, 5, 'Cu']]","[[[1, 1, 4, 'Ni'], [2, 1, 4, 'Ni']], [[1, 1, 4, 'Ni'], [3, 2, 3, 'Cu']], [[1, 1, 4, 'Ni'], [4, 1, 4, 'Cu']], [[3, 2, 3, 'Cu'], [4, 1, 4, 'Cu']], [[3, 2, 3, 'Cu'], [9, 0, 5, 'Cu']], [[4, 1, 4, 'Cu'], [5, 1, 4, 'Cu']], [[4, 1, 4, 'Cu'], [9, 0, 5, 'Cu']], [[9, 0, 5, 'Cu'], [10, 0, 5, 'Cu']]]",1,2.398,"(2, 3, 10, 10)","[0, 4, 6, 2, 0, 0, 0]","(6, 42, 36)"
8,3,"['Ni', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu']",4,7,26,"[[1, 0, 5, 'Ni'], [2, 2.1, 3, 'Cu'], [3, 1, 4, 'Cu'], [9, 0, 5, 'Cu']]","[[[1, 0, 5, 'Ni'], [2, 2.1, 3, 'Cu']], [[1, 0, 5, 'Ni'], [3, 1, 4, 'Cu']], [[2, 2.1, 3, 'Cu'], [6, 2.1, 3, 'Cu']], [[2, 2.1, 3, 'Cu'], [3, 1, 4, 'Cu']], [[3, 1, 4, 'Cu'], [4, 1, 4, 'Cu']], [[3, 1, 4, 'Cu'], [9, 0, 5, 'Cu']], [[9, 0, 5, 'Cu'], [10, 0, 5, 'Cu']]]",1,2.411,"(3, 3, 10, 10)","[0, 4, 6, 2, 0, 0, 0]","(4, 40, 40)"
9,3,"['Ni', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Ni']",2,2,10,"[[1, 0, 5, 'Ni'], [2, 1, 4, 'Cu']]","[[[1, 0, 5, 'Ni'], [2, 1, 4, 'Cu']], [[2, 1, 4, 'Cu'], [7, 1, 4, 'Cu']]]",1,2.411,"(4, 3, 10, 10)","[0, 2, 10, 0, 0, 0, 0]","(4, 40, 40)"
