index,cluster_category,notation_in_benchmark,energy,no_cluster,rotation,joining_type,Cu_x,full_notation
1,0_COOH,-,-78.970733,191,1_2,MOCMHnbond,Cu_0,191_MOCMHnbond_1_2
2,0_HCOO,-,-79.498534,191,1_2,MOCM,Cu_0,191_MOCM_1_2
3,1_CO2,2_1_CuC,-74.255199,190,2_6,MOCM,Cu_1,190_MOCM_2_6
4,1_COOH,2_1_CuC_NiO,-77.412451,190,1_2,MOCMHnbond,Cu_1,190_MOCMHnbond_1_2
5,1_COOH,3_1_CuO_NiC,-77.573279,190,2_1,MOCMHnbond,Cu_1,190_MOCMHnbond_2_1
6,1_HCOO,1_1_CuO_NiO,-78.426282,190,2_1,MOCOM,Cu_1,190_MOCOM_2_1
7,1_HCOO,2_1_NiOO,-78.638101,190,2_3,MOCOM,Cu_1,190_MOCOM_2_3
8,2_CO2,2_2_CuC_NiCO,-72.916459,186,4_5,MOCM,Cu_2,186_MOCM_4_5
9,2_CO2,3_2_NiC,-72.820332,186,1_6,MOCM,Cu_2,186_MOCM_1_6
10,2_CO2,4_2_CuCu_NiCCO,-72.963866,186,3_9,MOCM,Cu_2,186_MOCM_3_9
11,2_COOH,1_2_CuCO,-76.035092,186,1_2,MOCMHnbond,Cu_2,186_MOCMHnbond_1_2
12,2_COOH,3_2Ni,-76.382602,186,9_4,MOCMHnbond,Cu_2,186_MOCMHnbond_9_4
13,2_COOH,4_2_CuC_NiO,-76.172909,186,1_6,MOCMHnbond,Cu_2,186_MOCMHnbond_1_6
14,2_HCOO,1_2_CuO_NiO,-77.215018,186,3_1,MOCOM,Cu_2,186_MOCOM_3_1
15,2_HCOO,2_2_CuOO,-76.651382,186,1_2,MOCOM,Cu_2,186_MOCOM_1_2
16,2_HCOO,3_2_NiOO,-77.025601,186,3_8,MOCOM,Cu_2,186_MOCOM_3_8
17,3_CO2,1_3_CuCCO,-71.56466,180,1_6,MOCM,Cu_3,180_MOCM_1_6
18,3_CO2,3_3_CuC,-71.670715,180,4_9,MOCM,Cu_3,180_MOCM_4_9
19,3_CO2,4_3_CuCO,-71.564524,180,4_1,MOCM,Cu_3,180_MOCM_4_1
20,3_CO2,5_3_CuO,-71.572018,181,2_6,MOCM,Cu_3,181_MOCM_2_6
21,3_COOH,1_3_CuCO,-74.794273,180,1_2,MOCMHnbond,Cu_3,180_MOCMHnbond_1_2
22,3_COOH,2_3_CuC,-74.794921,180,1_6,MOCMHnbond,Cu_3,180_MOCMHnbond_1_6
23,3_COOH,3_3_CuO,-75.02959,180,5_1,MOCMHnbond,Cu_3,180_MOCMHnbond_5_1
24,3_COOH,4_3_Cu,-75.120436,180,5_6,MOCMHnbond,Cu_3,180_MOCMHnbond_5_6
25,3_HCOO,1_3_CuCC,-75.586945,180,1_2,MOCOM,Cu_3,180_MOCOM_1_2
26,3_HCOO,2_3_CuC,-75.755051,180,5_1,MOCOM,Cu_3,180_MOCOM_5_1
27,3_HCOO,3_3_Cu,-75.904618,180,10_4,MOCOM,Cu_3,180_MOCOM_10_4
28,4_CO2,1_4_CuCCO,-69.579396,165,1_2,MOCM,Cu_4,165_MOCM_1_2
29,4_CO2,2_4_CuCO_NiC,-70.307117,165,6_2,MOCM,Cu_4,165_MOCM_6_2
30,4_CO2,4_4_CuC_NiCO,-70.471899,165,7_6,MOCM,Cu_4,165_MOCM_7_6
31,4_CO2,6_4_CuCC,-69.75478,165,2_6,MOCM,Cu_4,165_MOCM_2_6
32,4_COOH,1_4_CuCO,-73.537294,165,1_3,MOCMHnbond,Cu_4,165_MOCMHnbond_1_3
33,4_COOH,2_4_CuC_NiO,-73.611961,165,2_8,MOCMHnbond,Cu_4,165_MOCMHnbond_2_8
34,4_HCOO,1_4_CuOO,-74.525947,165,2_3,MOCOM,Cu_4,165_MOCOM_2_3
35,4_HCOO,2_4_NiOO,-74.628522,165,5_6,MOCOM,Cu_4,165_MOCOM_5_6
36,4_HCOO,3_4_CuO_NiO,-74.667787,165,6_2,MOCOM,Cu_4,165_MOCOM_6_2
37,5_CO2,4_5_CuC,-69.264724,146,8_9,MOCM,Cu_5,146_MOCM_8_9
38,5_COOH,1_5_CuCO,-72.266329,146,1_4,MOCMHnbond,Cu_5,146_MOCMHnbond_1_4
39,5_COOH,2_5_CuC_NiO,-72.331472,146,3_9,MOCMHnbond,Cu_5,146_MOCMHnbond_3_9
40,5_HCOO,1_5_CuOO,-73.089347,146,3_1,MOCOM,Cu_5,146_MOCOM_3_1
41,5_HCOO,2_5_NiOO,-73.37867,146,8_9,MOCOM,Cu_5,146_MOCOM_8_9
42,5_HCOO,3_5_CuO_NiO,-73.368214,146,6_1,MOCOM,Cu_5,146_MOCOM_6_1
