,full_notation,energy,SCF_steps,magnetism,time_of_calculation
0,58_MO_7_11,-65.233019, 94,0.95,67.92m
1,58_MOCOM_7_11,-70.411401,118,2.00,113.04m
2,59_MO_1_6,-65.574785,109,1.00,79.86m
3,59_MO_4_1,-65.529727, 88,0.99,43.05m
4,59_MO_7_6,-65.504183, 86,1.00,56.84m
5,59_MO_7_11,-65.505539, 84,1.00,79.23m
6,59_MOCOM_1_6,-70.699663, 67,2.00,47.35m
7,59_MOCOM_7_11,-70.690372, 64,2.00,42.76m
8,59_MOCOM_10_11,-70.445968,107,2.00,103.00m
9,60_MO_7_6,-65.293487, 87,1.00,42.41m
10,60_MO_7_11,-65.293939,117,1.00,79.45m
11,60_MOCOM_7_11,-70.596544, 76,2.00,37.12m
12,61_MO_4_1,-65.302266, 87,0.99,57.71m
13,61_MOCOM_1_6,-70.623761, 70,2.00,65.02m
14,61_MOCOM_10_11,-70.396020, 78,2.00,56.22m
15,62_MO_4_1,-65.377309,148,1.00,72.38m
16,62_MO_7_6,-65.391451,110,1.00,105.22m
17,62_MO_10_11,-65.569868, 93,1.00,45.04m
18,62_MOCOM_1_6,-70.634590, 68,2.00,45.44m
19,62_MOCOM_10_11,-70.616664, 74,2.00,69.68m
20,63_MO_4_1,-65.379137, 85,1.00,61.36m
21,63_MO_7_6,-65.377321, 76,1.00,49.24m
22,63_MO_7_11,-65.370766, 89,1.00,85.27m
23,63_MOCOM_1_6,-70.653083, 68,2.00,48.53m
24,63_MOCOM_7_11,-70.753183, 67,2.00,32.19m
25,63_MOCOM_10_11,-70.616416, 73,2.00,49.58m
26,64_MO_4_1,-65.382596, 75,1.00,53.41m
27,64_MO_7_6,-65.385859, 80,1.00,51.89m
28,64_MO_7_11,-65.387441,116,1.00,111.47m
29,64_MOCOM_7_11,-70.445859, 74,2.00,52.33m
30,65_MOCOM_7_11,-70.725644, 67,2.00,44.02m
31,66_MOCOM_1_6,-70.656484, 67,2.00,61.66m
32,66_MOCOM_7_11,-70.732579, 59,2.00,38.56m
33,67_MO_7_6,-65.634295,101,1.00,97.02m
34,67_MOCOM_7_11,-70.751643, 60,2.00,28.36m
35,69_MOCOM_1_6,-70.718694, 63,2.00,44.71m
36,69_MOCOM_10_11,-70.692798, 65,2.00,60.23m
37,70_MO_1_6,-65.585663, 82,1.00,54.08m
38,70_MO_4_1,-65.614302, 70,1.00,33.52m
39,70_MOCOM_10_11,-70.596936,105,1.14,77.08m
40,73_MO_1_6,-64.435002,101,1.00,77.20m
41,73_MOCOM_1_6,-69.578072, 81,2.00,58.41m
42,73_MOCOM_7_11,-69.598922, 72,1.99,34.98m
43,74_MO_7_11,-64.135812,124,0.95,91.86m
44,74_MOCOM_1_6,-69.552065, 90,2.00,62.37m
45,74_MOCOM_7_11,-69.363349, 86,1.97,41.93m
46,75_MO_7_11,-64.081176,132,0.95,66.01m
47,75_MOCOM_1_6,-69.500441, 97,1.99,91.68m
48,75_MOCOM_7_11,-69.323647, 80,1.98,38.97m
49,76_MO_1_6,-64.392730,142,1.05,139.04m
50,76_MOCOM_1_6,-69.540920, 90,2.00,43.94m
51,77_MOCOM_1_6,-69.597935, 82,2.00,39.63m
52,77_MOCOM_7_11,-69.594262, 78,1.99,72.91m
53,77_MOCOM_10_11,-69.497759, 87,2.00,42.49m
54,78_MO_1_6,-64.452970, 90,1.00,87.76m
55,78_MO_7_11,-64.196287, 93,0.99,45.16m
56,79_MOCOM_7_11,-69.658111, 69,2.00,49.78m
57,80_MO_4_1,-64.518644,117,1.02,58.69m
58,80_MO_7_11,-64.467623,117,0.99,111.79m
59,80_MOCOM_1_6,-69.695239, 80,2.00,57.60m
60,80_MOCOM_7_11,-69.897395, 72,2.00,50.79m
61,80_MOCOM_10_11,-69.628464,123,2.00,60.37m
62,81_MO_1_6,-64.516918,137,1.00,131.91m
63,81_MOCOM_1_6,-69.647598, 74,2.00,49.67m
64,81_MOCOM_7_11,-69.640736, 87,2.00,42.79m
65,82_MO_1_6,-64.481866,133,1.00,99.58m
66,83_MO_4_1,-64.221759,149,1.00,75.09m
67,83_MO_10_11,-64.213882, 86,1.00,57.29m
68,83_MOCOM_10_11,-69.336487, 88,2.00,63.66m
69,84_MO_1_6,-64.469271,146,1.00,101.75m
70,84_MO_7_6,-64.515202, 88,1.00,82.83m
71,84_MO_7_11,-64.517165, 91,1.00,66.78m
72,84_MOCOM_7_11,-69.691253,130,2.00,64.84m
73,85_MO_4_1,-64.278401,107,1.04,78.42m
74,85_MO_10_11,-64.276352,106,0.91,99.74m
75,85_MOCOM_1_6,-69.620985, 75,2.00,36.74m
76,86_MO_7_6,-64.501945,126,1.00,93.28m
77,86_MO_7_11,-64.504028, 83,1.00,54.93m
78,86_MOCOM_7_11,-69.656071, 76,2.00,36.39m
79,86_MOCOM_10_11,-69.304266, 88,2.00,60.33m
80,88_MO_1_6,-64.524022,134,1.01,130.88m
81,88_MO_4_1,-64.318226,130,0.99,98.01m
82,88_MO_7_6,-64.322829,127,1.00,86.01m
83,88_MOCOM_1_6,-69.573994, 81,2.00,77.37m
84,89_MO_1_6,-64.529438,145,1.01,109.28m
85,89_MOCOM_7_11,-69.696211,104,2.00,49.06m
86,90_MO_4_1,-64.320840,108,0.99,74.40m
87,91_MO_1_6,-64.500061,143,1.00,72.21m
88,92_MO_1_6,-64.528439, 67,0.93,45.09m
89,92_MOCOM_1_6,-69.675883, 67,2.00,32.23m
90,93_MO_1_6,-64.569933, 86,0.97,62.56m
91,94_MO_1_6,-64.505952, 82,1.00,78.59m
92,58_MO_1_2,-65.523202, 81,1.00,76.23m
93,58_MO_1_3,-65.519867,127,1.00,123.24m
94,58_MO_2_1,-65.491994, 98,1.00,95.72m
95,58_MO_2_3,-65.514167,102,1.00,96.52m
96,58_MOCOM_1_2,-70.869074, 80,2.00,75.13m
97,58_MOCOM_1_3,-70.813864, 77,2.00,72.64m
98,58_MOCOM_2_3,-70.894033,137,2.00,125.61m
99,59_MO_1_3,-65.574236,120,1.00,115.92m
100,59_MO_2_1,-65.536804, 89,1.00,84.38m
101,59_MOCOM_1_2,-70.907739,105,2.00,103.77m
102,59_MOCOM_1_3,-70.839739,100,2.00,49.51m
103,60_MO_1_2,-65.575828, 76,1.00,37.11m
104,60_MO_1_3,-65.573333, 88,1.00,82.54m
105,60_MO_2_1,-65.569728, 82,1.00,39.69m
106,60_MO_2_3,-65.587648, 74,1.00,35.24m
107,60_MOCOM_1_2,-70.892523, 67,2.00,61.97m
108,60_MOCOM_1_3,-70.763718, 77,2.00,37.50m
109,61_MO_1_2,-65.557614, 89,1.00,43.25m
110,61_MO_1_3,-65.550932,123,1.00,118.59m
111,61_MOCOM_1_2,-70.899852, 71,2.00,33.70m
112,61_MOCOM_1_3,-70.863911, 81,2.00,39.10m
113,62_MO_2_1,-65.584896, 89,1.00,43.67m
114,62_MO_2_3,-65.587483, 98,1.00,47.58m
115,62_MOCOM_1_2,-70.896043, 66,2.00,61.06m
116,62_MOCOM_2_3,-70.890320, 72,2.00,34.29m
117,63_MO_2_3,-65.630664, 78,1.00,37.68m
118,63_MOCOM_1_2,-70.947923, 62,2.00,58.55m
119,63_MOCOM_2_3,-70.895179, 71,2.00,34.40m
120,64_MO_2_1,-65.602796, 78,1.00,37.90m
121,64_MOCOM_1_2,-70.859593, 70,2.00,65.80m
122,64_MOCOM_2_3,-70.916721, 74,2.00,35.52m
123,65_MO_1_2,-65.675194,148,1.00,143.33m
124,65_MO_1_3,-65.664414,134, -1.00,66.82m
125,65_MOCOM_1_2,-70.920563, 65,2.00,31.22m
126,66_MO_1_2,-65.600816,137,1.00,68.28m
127,66_MO_1_3,-65.605287, 84,1.00,78.76m
128,66_MOCOM_1_2,-70.962872, 54,2.00,25.81m
129,66_MOCOM_1_3,-70.636110, 70,2.00,34.01m
130,67_MOCOM_1_2,-70.983490, 55,2.00,27.10m
131,68_MOCOM_1_2,-70.953929, 67,2.00,31.81m
132,73_MO_2_1,-64.406165,101,0.98,49.51m
133,89_MOCOM_1_6,-69.585601, 74,2.00,69.74m
134,86_MO_1_6,-64.502746,105,1.00,51.62m
135,81_MO_4_1,-64.501694,109,0.99,70.80m
136,77_MO_1_6,-64.436766,130,1.00,65.74m
137,73_MOCOM_10_11,-69.299546, 87,1.99,56.34m
138,68_MO_1_6,-65.590320, 89,0.97,42.35m
139,58_MOCOM_1_6,-70.620591, 71,2.00,66.05m
140,32_MO_7_8,-64.042346, 80, -0.07,40.87m
141,33_MO_4_1,-64.125862, 42, -0.00,21.63m
142,33_MO_7_8,-64.131703, 59, -0.00,45.87m
143,34_MO_4_1,-64.199997,138,0.00,67.76m
144,34_MO_7_8,-64.207012, 55,0.05,28.61m
145,35_MO_4_1,-64.344807, 37, -0.01,29.18m
146,36_MO_4_1,-64.376822, 38, -0.01,20.22m
147,37_MO_7_8,-64.142653, 41, -0.01,21.97m
148,38_MO_7_8,-64.144700, 48, -0.13,26.16m
149,39_MO_7_8,-64.166056, 42, -0.05,33.49m
150,40_MO_7_8,-64.243998, 93,0.10,47.60m
151,41_MO_4_1,-64.239147, 48,0.00,25.08m
152,43_MO_4_1,-64.218066, 51,0.16,39.43m
153,45_MO_7_8,-63.214251, 90, -0.05,65.58m
154,47_MO_4_1,-62.996173, 80, -0.18,40.69m
155,48_MO_4_1,-63.064178,145, -0.04,71.93m
156,48_MO_7_8,-63.070872, 47, -0.08,37.56m
157,49_MO_4_1,-63.068930, 50, -0.08,26.26m
158,49_MO_7_8,-63.062430, 76, -0.08,40.15m
159,50_MO_4_1,-63.101709, 67, -0.07,52.37m
160,51_MO_4_1,-63.147446,101,0.05,51.73m
161,52_MO_7_8,-63.267096, 56,0.55,43.81m
162,53_MO_7_8,-63.307218, 47,1.07,24.42m
163,56_MO_4_1,-63.304951, 92, -0.12,47.96m
164,32_MOCOM_1_3,-69.627015, 72,1.00,37.12m
165,32_MOCOM_1_5,-69.486200, 36,1.00,19.56m
166,32_MOCOM_5_11,-69.270329, 44,1.00,36.43m
167,33_MOCOM_1_5,-69.794363, 50,1.00,25.81m
168,34_MOCOM_1_5,-69.572613, 31,1.00,16.47m
169,34_MOCOM_5_11,-69.285676, 36,1.00,19.45m
170,35_MOCOM_1_3,-69.482269, 39,1.00,31.25m
171,35_MOCOM_1_5,-69.560405, 33,1.00,17.87m
172,36_MOCOM_1_3,-69.479294, 38,1.00,20.48m
173,36_MOCOM_1_5,-69.487313, 33,1.00,17.45m
174,36_MOCOM_5_11,-69.379640, 65,1.00,32.16m
175,37_MOCOM_1_3,-69.472898, 41,1.00,22.20m
176,38_MOCOM_1_3,-69.417902, 37,1.00,19.40m
177,38_MOCOM_1_5,-69.495357, 43,1.00,33.76m
178,38_MOCOM_5_11,-69.542323, 38,1.02,20.71m
179,39_MOCOM_1_3,-69.406798, 74,1.00,38.20m
180,39_MOCOM_1_5,-69.461751, 36,1.00,19.21m
181,39_MOCOM_5_11,-69.432880, 48,1.00,24.73m
182,40_MOCOM_1_3,-69.522027, 35,1.00,27.94m
183,40_MOCOM_1_5,-69.559749, 31,1.00,16.18m
184,40_MOCOM_5_11,-69.339101, 34,1.00,17.35m
185,41_MOCOM_1_3,-69.469695, 35,1.00,18.67m
186,42_MOCOM_1_3,-69.444270, 51,1.00,26.56m
187,42_MOCOM_1_5,-69.511232, 38,1.00,29.88m
188,42_MOCOM_5_11,-69.392534, 31,1.00,15.88m
189,43_MOCOM_1_3,-69.546009, 36,1.00,18.71m
190,44_MOCOM_1_3,-68.529358, 63,1.00,33.67m
191,45_MOCOM_1_3,-68.551024, 93,0.99,47.49m
192,45_MOCOM_1_5,-68.446490, 39,1.00,31.70m
193,46_MOCOM_1_3,-68.591172, 48,1.00,25.79m
194,46_MOCOM_1_5,-68.469537, 49,1.00,26.26m
195,46_MOCOM_5_11,-68.414678,103,1.00,52.43m
196,47_MOCOM_1_3,-68.607970, 71,1.00,57.10m
197,47_MOCOM_1_5,-68.735456, 38,1.00,19.88m
198,47_MOCOM_5_11,-68.406305, 45,0.99,24.10m
199,48_MOCOM_1_5,-68.836729, 52,1.00,26.57m
200,48_MOCOM_5_11,-68.441023, 38,0.97,20.99m
201,49_MOCOM_1_5,-68.822194, 47,1.04,24.93m
202,50_MOCOM_1_5,-68.761195, 46,1.00,35.69m
203,52_MOCOM_1_3,-68.401317, 41,1.00,22.14m
204,52_MOCOM_1_5,-68.455080, 34,1.00,18.44m
205,52_MOCOM_5_11,-68.343361, 40,1.00,21.61m
206,53_MOCOM_1_3,-68.420270, 39,1.00,21.44m
207,53_MOCOM_5_11,-68.335841, 78,1.00,61.27m
208,54_MOCOM_1_3,-68.411448, 44,0.93,22.86m
209,54_MOCOM_1_5,-68.417155, 36,1.00,18.60m
210,54_MOCOM_5_11,-68.254856, 38,1.05,20.05m
211,55_MOCOM_1_3,-68.402651, 38,1.00,20.22m
212,55_MOCOM_1_5,-68.469626, 43,0.92,23.12m
213,56_MOCOM_1_3,-68.369809, 52,1.00,27.21m
214,56_MOCOM_1_5,-68.457441, 34,1.00,27.36m
215,56_MOCOM_5_11,-68.516649, 44,1.06,22.74m
216,26_MO_3_4,-61.840374, 43,1.02,26.72m
217,27_MOCOM_3_8,-67.145020, 48,0.00,30.32m
218,28_MOCOM_1_3,-67.311398, 65,0.07,52.72m
219,29_MO_1_6,-62.059094, 49,1.03,31.34m
220,20_MOCOM_2_6,-67.146268, 42, -0.07,26.09m
221,18_MO_10_4,-63.147471, 53,1.00,33.91m
222,18_MO_1_2,-63.202858, 34,1.00,21.51m
223,20_MOCOM_5_11,-66.967862, 77,0.07,49.12m
224,23_MOCOM_3_9,-67.057860, 83, -0.06,49.51m
225,16_MOCOM_5_6,-68.107999, 35, -0.05,29.18m
226,17_MO_6_7,-62.931067, 52,1.00,34.35m
