,full_notation,energy,SCF_steps,magnetism,time_of_calculation
0,180_MOCMHnbond_1_2,-74.048985, 43,6.00,23.61m
1,165_MOCM_2_6,-69.038943, 44,3.97,24.06m
2,190_MOCMHnbond_2_1,-76.902707, 42,8.00,22.98m
3,165_MOCM_1_2,-69.038943, 44,3.97,31.76m
4,146_MOCM_8_9,-67.833091, 46,2.93,26.13m
5,2_MOCMHnbond_1_2,-62.585976, 25,3.01,16.28m
6,2_MOCMHnbond_2_1,-62.585976, 25,3.01,16.19m
7,165_MOCMHnbond_1_3,-72.850313, 45,5.00,25.25m
8,180_MOCMHnbond_5_1,-74.048985, 43,6.00,30.73m
9,186_MOCM_3_9,-71.453452, 42,5.99,22.79m
10,72_MOCMHnbond_7_8,-68.935967, 41,1.92,26.66m
11,190_MOCMHnbond_1_2,-76.902707, 42,8.00,23.13m
12,186_MOCOM_1_2,-76.262311, 43,7.00,23.37m
13,180_MOCOM_1_2,-75.120100, 41,6.00,30.21m
14,186_MOCMHnbond_1_2,-75.242532, 37,7.00,20.77m
15,181_MOCM_2_6,-70.229943, 46,5.00,25.34m
16,72_MOCOM_7_8,-69.748726, 39,2.00,33.43m
17,186_MOCMHnbond_9_4,-75.242532, 37,7.00,20.69m
18,4_MOCOM_1_2,-65.017244, 33,3.66,21.81m
19,180_MOCM_4_1,-70.232173, 42,4.93,22.97m
20,146_MOCOM_8_9,-72.741449, 50,4.00,37.61m
21,186_MOCM_4_5,-71.453452, 42,5.99,22.84m
22,4_MOCMHnbond_1_3,-64.252169, 89,3.72,58.05m
23,44_MOCMHnbond_7_2,-67.776383,101,0.98,82.65m
24,165_MOCOM_5_6,-73.926864, 46,5.00,25.97m
25,165_MOCM_6_2,-69.038943, 44,3.97,24.26m
