,liczba Ni,centre_metal_Ni_=1 ,energia_zredukowana,energia,ni_path_ncentre,ni_path_centre,cu_with_centre,cu_path_ncentre,srodek_masy,0%Ni,8%Ni,16%Ni,25%Ni,33%Ni,41%Ni,50%Ni,usieciowanie,usieciowanie_cu
0,0,0,0.0,-34.03872,0,0,13,12,0.010644927986615784,12,0,0,0,0,0,0,0,84
1,1,1,0.0188069822485204,-36.023009,0,1,12,12,0.024657378621645677,0,12,0,0,0,0,0,0,60
6,2,0,0.028064810650887534,-38.131437,4,3,11,10,0.04569309154896895,2,10,0,0,0,0,0,0,60
5,2,0,0.03334611834319536,-38.06278,3,3,11,10,0.05334060501705695,4,6,2,0,0,0,0,0,60
8,3,1,0.0430588698224848,-40.165294,3,3,10,10,0.069783717190235,0,4,6,2,0,0,0,4,40
11,3,0,0.03791663905325421,-40.232143,3,3,10,9,0.032705698820885316,2,6,3,1,0,0,0,4,52
10,3,0,0.03786748520710039,-40.232782,3,3,10,9,0.03828538476011758,3,3,6,0,0,0,0,6,54
7,3,1,0.038988023668638815,-40.218215,2,3,10,10,0.05030352674782473,0,4,6,2,0,0,0,6,42
15,4,1,0.045779390532544,-42.358707,3,4,9,9,0.052441836198771324,0,3,3,6,0,0,0,12,36
24,4,0,0.04034639053254425,-42.429336,4,4,9,8,0.028221897884480505,1,4,6,0,1,0,0,6,42
27,4,0,0.050359159763313684,-42.29917,5,5,9,8,0.06111405126241376,1,3,7,1,0,0,0,4,40
19,4,1,0.04288069822485214,-42.39639,5,5,9,9,0.053995630673228955,0,3,3,6,0,0,0,6,30
16,4,1,0.04753139053254402,-42.335931,3,4,9,9,0.04855097039239276,0,2,6,3,1,0,0,10,34
28,4,0,0.04577308284023638,-42.358789,5,5,9,8,0.02780576332225241,0,6,4,2,0,0,0,4,40
30,4,0,0.04608731360946741,-42.354704,5,5,9,8,0.03687081392838864,0,6,4,2,0,0,0,4,40
20,4,0,0.0475750059171597,-42.335364,4,4,9,8,0.052566459443840516,2,2,6,2,0,0,0,10,46
17,4,1,0.03925977514792906,-42.443462,4,4,9,9,0.02344573951355656,0,2,6,3,1,0,0,8,32
56,5,0,-0.04098708875739623,-45.715451,6,6,8,7,0.028399617644458624,1,2,5,3,1,0,0,6,30
35,5,1,0.05084429585798872,-44.521643,4,5,8,8,0.05118378277226424,0,0,6,4,2,0,0,14,26
46,5,0,-0.034270550295857474,-45.628136,6,6,8,7,0.0528974824881969,1,1,6,4,0,0,0,10,34
43,5,1,0.05203875739644997,-44.506115,5,5,8,8,0.051093141181833925,0,0,4,8,0,0,0,12,24
36,5,1,0.04858644970414234,-44.550995,4,5,8,8,0.036532171774347894,0,1,4,6,0,1,0,14,26
54,5,0,0.04857468047337331,-44.551148,5,5,8,8,0.04454360962523795,1,0,10,0,0,1,0,10,34
55,5,0,0.0454695266272192,-44.591515,5,5,8,7,0.02466341980947257,0,3,6,2,1,0,0,8,32
57,5,0,-0.03295624260354985,-45.61105,6,6,8,7,0.06149890045172356,0,4,3,5,0,0,0,6,30
40,5,1,0.04547606508875755,-44.59143,5,5,8,8,0.018909278301408927,0,0,6,4,2,0,0,12,24
51,5,0,-0.041301934911242184,-45.719544,6,6,8,7,0.023064923118616774,0,2,7,3,0,0,0,8,32
38,5,1,-0.036527704142011654,-45.657479,5,5,8,8,0.04885670698176533,0,1,5,3,3,0,0,12,24
39,5,1,0.061780372781065296,-44.379474,5,5,8,8,0.07641705277900941,0,1,3,7,1,0,0,12,24
34,5,1,0.05224121893491138,-44.503483,5,5,8,8,0.032499127702821914,0,1,3,7,1,0,0,14,26
88,6,0,0.05093350887573951,-46.749263,6,6,7,6,0.024135386770299392,0,1,5,5,1,0,0,12,24
85,6,0,-0.03076818343195297,-47.811385,6,6,7,7,0.01464206118992887,0,1,6,4,0,1,0,14,26
83,6,0,0.05687989349112417,-46.67196,7,7,7,7,0.02520174544386044,0,3,3,3,3,0,0,12,24
81,6,0,0.060473047337278166,-46.625249,6,6,7,6,0.06525267123891708,0,1,5,5,1,0,0,14,26
72,6,0,0.054484355029585506,-46.703102,6,6,7,6,0.04148943285541759,1,0,5,5,0,1,0,20,32
66,6,1,0.05100212426035492,-46.748371,5,6,7,7,0.023964154564225033,0,0,3,6,2,1,0,18,18
59,6,1,0.05450527810650877,-46.70283,5,6,7,7,0.05328164255718238,0,0,4,3,5,0,0,22,22
62,6,1,0.05224120118343151,-46.732263,5,6,7,7,0.011584056196184458,0,0,3,6,2,1,0,20,20
70,6,1,-0.03509772189349128,-47.867669,6,6,7,7,0.036763681101181674,0,1,2,5,3,1,0,16,16
60,6,1,-0.03244195266272188,-47.833144,6,6,7,7,0.05807717593530462,0,1,1,6,4,0,0,20,20
91,6,0,-0.02820218343195299,-47.778027,6,6,7,6,0.014921813533609243,0,2,4,4,2,0,0,10,22
94,6,0,-0.03516056804733727,-47.868486,7,7,7,7,0.04482588852020169,1,0,5,5,0,1,0,10,22
89,6,0,-0.03244233727810662,-47.833149,6,6,7,6,0.05033063527763791,0,1,5,5,1,0,0,12,24
79,6,0,0.052145816568047225,-46.733503,6,6,7,6,0.023046917130690077,0,2,2,8,0,0,0,14,26
68,6,1,0.050258816568046975,-46.758034,5,6,8,8,0.028550372988276528,0,1,0,10,0,0,1,20,20
92,6,0,0.05540958579881634,-46.691074,6,6,7,7,0.03743035950937751,0,0,8,2,2,0,0,12,24
95,6,0,-0.03086441420118346,-47.812636,6,6,7,6,0.024819715245527434,0,2,4,4,2,0,0,10,22
74,6,0,0.05332489349112389,-46.718175,6,6,7,6,0.04846145996383239,0,2,4,4,2,0,0,18,30
76,6,0,0.05542943195266267,-46.690816,6,6,7,6,0.040799035383769035,0,2,4,4,2,0,0,18,30
93,6,0,0.05093827810650873,-46.749201,6,6,7,7,0.024064180809512937,0,0,6,6,0,0,0,12,24
67,6,1,0.05547266272189306,-46.690254,5,6,7,7,0.0409196047969532,0,0,2,7,3,0,0,18,18
63,6,1,-0.035192491124260636,-47.868901,5,6,7,7,0.03341212044408274,0,0,3,6,2,1,0,20,20
102,7,0,-0.024249124260354468,-49.955417,7,7,6,6,0.08087197715334841,0,0,4,6,1,1,0,18,18
